index,drugbank_id
0,DB00006
1,DB00014
2,DB00027
3,DB00035
4,DB00050
5,DB00080
6,DB00091
7,DB00106
8,DB00114
9,DB00115
10,DB00116
11,DB00117
12,DB00118
13,DB00119
14,DB00120
15,DB00121
16,DB00122
17,DB00123
18,DB00125
19,DB00126
20,DB00127
21,DB00128
22,DB00129
23,DB00130
24,DB00131
25,DB00132
26,DB00133
27,DB00134
28,DB00135
29,DB00136
30,DB00137
31,DB00138
32,DB00139
33,DB00140
34,DB00141
35,DB00142
36,DB00143
37,DB00144
38,DB00145
39,DB00146
40,DB00147
41,DB00148
42,DB00149
43,DB00150
44,DB00151
45,DB00152
46,DB00153
47,DB00154
48,DB00155
49,DB00156
50,DB00157
51,DB00158
52,DB00159
53,DB00160
54,DB00161
55,DB00162
56,DB00163
57,DB00165
58,DB00166
59,DB00167
60,DB00168
61,DB00169
62,DB00170
63,DB00171
64,DB00172
65,DB00173
66,DB00174
67,DB00175
68,DB00176
69,DB00177
70,DB00178
71,DB00179
72,DB00180
73,DB00181
74,DB00182
75,DB00183
76,DB00184
77,DB00185
78,DB00186
79,DB00187
80,DB00188
81,DB00189
82,DB00190
83,DB00191
84,DB00192
85,DB00193
86,DB00194
87,DB00195
88,DB00196
89,DB00197
90,DB00198
91,DB00199
92,DB00200
93,DB00201
94,DB00202
95,DB00203
96,DB00204
97,DB00205
98,DB00206
99,DB00207
100,DB00208
101,DB00209
102,DB00210
103,DB00211
104,DB00212
105,DB00213
106,DB00214
107,DB00215
108,DB00216
109,DB00217
110,DB00218
111,DB00219
112,DB00220
113,DB00221
114,DB00222
115,DB00223
116,DB00224
117,DB00225
118,DB00226
119,DB00227
120,DB00228
121,DB00229
122,DB00230
123,DB00231
124,DB00232
125,DB00233
126,DB00234
127,DB00235
128,DB00236
129,DB00237
130,DB00238
131,DB00239
132,DB00240
133,DB00241
134,DB00242
135,DB00243
136,DB00244
137,DB00245
138,DB00246
139,DB00247
140,DB00248
141,DB00249
142,DB00250
143,DB00251
144,DB00252
145,DB00253
146,DB00254
147,DB00255
148,DB00256
149,DB00257
150,DB00258
151,DB00259
152,DB00260
153,DB00261
154,DB00262
155,DB00263
156,DB00264
157,DB00265
158,DB00266
159,DB00267
160,DB00268
161,DB00269
162,DB00270
163,DB00271
164,DB00272
165,DB00273
166,DB00274
167,DB00275
168,DB00276
169,DB00277
170,DB00278
171,DB00279
172,DB00280
173,DB00281
174,DB00282
175,DB00283
176,DB00284
177,DB00285
178,DB00287
179,DB00288
180,DB00289
181,DB00290
182,DB00291
183,DB00292
184,DB00293
185,DB00294
186,DB00295
187,DB00296
188,DB00297
189,DB00298
190,DB00299
191,DB00300
192,DB00301
193,DB00302
194,DB00303
195,DB00304
196,DB00305
197,DB00306
198,DB00307
199,DB00308
200,DB00309
201,DB00310
202,DB00311
203,DB00312
204,DB00313
205,DB00314
206,DB00315
207,DB00316
208,DB00317
209,DB00318
210,DB00319
211,DB00320
212,DB00321
213,DB00322
214,DB00323
